company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
OfficeDepot~|~B O X MANAGEMENT, INC.~|~Partners Brand~|~NP2430~|~100011~|~Partners Brand Newsprint Paper Sheets, 30 Lb, 24" x 36", Gray, Pack Of 800~|~Use these newsprint sheets as a void fill or as a stuffer to help ensure your items are protected and safe during transport and storage. These sheets are pre-cut and unprinted. Made of tough 30 lb newsprint paper that is unprinted and clean. Use as a void filler and stuffer to help ensure your packages arrive intact. Pre-cut sheets can create a customized solution for your packaging needs. Number of sheets is approximate.~|~185.99~|~~|~pack~|~800~|~735153030580~|~~|~Office Supplies > Mailing, Packing & Shipping > Packing Materials > Packing Papers~|~https://www.officedepot.com/a/products/100011/Partners-Brand-Newsprint-Paper-Sheets-30/~|~In Stock~|~2026-05-05~|~~|~~|~658
OfficeDepot~|~CONAIR CORPORATION~|~Conair~|~CS1000~|~1000112~|~Conair(R) InfinitiPRO Tourmaline Ceramic Flat Iron, 1", Dark Gray~|~Straighten your hair with the Conair InfinitiPRO Tourmaline Ceramic Flat Iron. The tourmaline ceramic helps reduce frizz and improve shine, while the 5 heat settings offer convenient user customization. Tourmaline ceramic helps reduce frizz and improve shine. Floating plate adjusts to your hair texture. Advanced ion generator helps further reduce frizz and improve shine. Ceramic heather heats to 455degF to help style tough spots. 5 heat settings offer user customization. Automatic shutoff for safe usage.~|~39.49~|~~|~each~|~1~|~074108434623~|~~|~Cleaning > Personal Care > Hair Care~|~https://www.officedepot.com/a/products/1000112/Conair-InfinitiPRO-Tourmaline-Ceramic-Flat-Iron/~|~In Stock~|~2026-05-05~|~~|~~|~46
OfficeDepot~|~CONAIR CORPORATION~|~Conair~|~HC355R~|~1000136~|~Conair Man Number Cut Cord/Cordless Clipper And Trimmer, Black~|~Cut, trim and taper like a barber with the Conair Man Number Cut Cord/Cordless Clipper And Trimmer. Utilize 5-position taper control with 45 total settings for accurate cuts, fading and blending. Dynamic 5-position taper control features 45 total settings for the accurate cuts, fading and blending. Stainless steel blade is self-sharpening and removable. High-speed motor offers steady power for snag-free cutting. Comfortable grip fits the contours of the hand for control. Cut cordless for up to 60 minutes with a full charge. Includes 8 number- and color-coded guide comb attachments, a barber comb, barber scissors, cleaning brush and oil, blade guard and deluxe hard storage case. Backed by the manufacturer's limited 5-year warranty.~|~50.09~|~~|~each~|~1~|~074108490124~|~~|~Cleaning > Personal Care > Hair Care~|~https://www.officedepot.com/a/products/1000136/Conair-Man-Number-Cut-CordCordless-Clipper/~|~In Stock~|~2026-05-05~|~~|~~|~1
OfficeDepot~|~ALURATEK, INC.~|~Aluratek~|~1087851~|~100018~|~Aluratek Dual USB Auto Charger - 12 V DC Input - 5 V DC Output - 2 A~|~2 A current enables your device recharge quickly Auto Adapter with 12 V DC input voltage for maximum feasibility and added productivity Delivers constant 5 V DC for smooth functioning & charging of the device Whenever needed keep your devices powered and operational~|~20.49~|~~|~each~|~1~|~812658011419~|~~|~Electronics > Batteries & Power Protection > Chargers & Adapters~|~https://www.officedepot.com/a/products/100018/Aluratek-Dual-USB-Auto-Charger-12/~|~In Stock~|~2026-05-05~|~~|~~|~1
OfficeDepot~|~CONAIR CORPORATION~|~Conair~|~888~|~1000239~|~Conair(R) InfinitiPRO Performa Series Ionic Ceramic Hair Dryer, Peach~|~Style your way with the Conair(R) InfinitiPRO Performa Series Ionic Ceramic Hair Dryer. This hair dryer uses ceramic technology to help reduce hot spots and heat damage, while the ionic technology helps reduce frizz. With 3 heat settings and 2 speed settings to choose from, the hair dryer gives users the freedom to customize their hair to their liking. Ceramic technology helps reduce hotspots and heat damage. Ionic technology reduces frizz. Cold shot technology locks in your preferred style. 3 heat and 2 speed settings provide user customization. Thermal helps achieve a smooth style. Thermal pik setting detangles, volumizes and lifts. Diffuser setting is designed to create curls and waves. Removable filter allows for easy cleaning. Backed by the manufacturer's 4-year limited warranty.~|~49.49~|~~|~each~|~1~|~074108458179~|~~|~Cleaning > Personal Care > Hair Care~|~https://www.officedepot.com/a/products/1000239/Conair-InfinitiPRO-Performa-Series-Ionic-Ceramic/~|~Out of Stock~|~2026-05-05~|~~|~~|~0
OfficeDepot~|~CONAIR CORPORATION~|~Conair~|~999~|~1000361~|~Conair(R) InfinitiPRO DigitalAIRE Hair Dryer, Powder Blue~|~Efficiently dry your hair with the Conair InfinitiPRO DigitalAIRE Hair Dryer. The digital circuitry ensures accelerated drying, while the Next-Gen air performance provides efficient root-to-tip drying. The Honeycomb ceramic technology helps prevent hotspots to minimize heat damage. Digital circuitry efficiently spins the motor for accelerated drying. Next-Gen air performance delivers increased air pressure for reliable root-to-tip drying. Honeycomb ceramic technology helps prevent hotspots to minimize heat damage. Frizz Defense technology reduces the risk of frizz. Lightweight design offers comfortable handling. Locking cold shot technology locks in your preferred style. 3 heat and 3 speed settings provide user customization. 7' cord ensures extended reach. Backed by the manufacturer's 4-year limited warranty.~|~133.49~|~~|~each~|~1~|~074108466501~|~~|~Cleaning > Personal Care > Hair Care~|~https://www.officedepot.com/a/products/1000361/Conair-InfinitiPRO-DigitalAIRE-Hair-Dryer-Powder/~|~In Stock~|~2026-05-05~|~~|~~|~137
OfficeDepot~|~CONAIR CORPORATION~|~Conair~|~CD1031~|~1000545~|~Conair INFINITIPRO Curl Secret Automatic Curling Iron, 4-1/2", Gray/Gold~|~Style your hair with the Conair INFINITIPRO Curl Secret Automatic Curling Iron. With multiple curl types, curl directions and heat settings to choose from, this curling iron makes it easy to style your hair the way you want. 3 preset curl types include defined, loose or wavy. 3 curl directions include left, right or alternating. 5 heat settings include 300degF, 330degF, 355degF, 385degF or 410degF. Tangle-free technology and barrel cover help prevent accidental scalding. Ceramic technology reduces hair damage. Low energy-efficient mode and auto-off technology afford safe usage.~|~86.99~|~~|~each~|~1~|~074108478702~|~~|~Cleaning > Personal Care > Hair Care~|~https://www.officedepot.com/a/products/1000545/Conair-INFINITIPRO-Curl-Secret-Automatic-Curling/~|~Out of Stock~|~2026-05-05~|~~|~~|~0
OfficeDepot~|~B O X MANAGEMENT, INC.~|~South Coast Paper~|~KP1840~|~100061~|~South Coast Paper 100% Recycled Kraft Paper Roll, 40 Lb, 18" x 900'~|~Sturdy kraft paper is a great choice for wrapping boxes to protect against minor damage. It can also be used as a void fill when shipping and moving boxes. Tough kraft paper shields boxes against minor damage during shipping. Crumpled kraft paper can also be used as a void fill to protect delicate items during moving and storage. Roll sizes are approximate. Contains Recycled Content - See Specs for Details.~|~48.99~|~~|~roll~|~1~|~735153047113~|~~|~Office Supplies > Mailing, Packing & Shipping > Packing Materials > Packing Papers~|~https://www.officedepot.com/a/products/100061/South-Coast-Paper-100percent-Recycled-Kraft/~|~In Stock~|~2026-05-05~|~~|~~|~230
OfficeDepot~|~CONAIR CORPORATION~|~Conair~|~CS1001~|~1000662~|~Conair InfinitiPRO Tourmaline Ceramic Flat Iron, 1-1/4", Black/Gold~|~Straighten or curl your hair using the Conair InfinitiPRO Tourmaline Ceramic Flat Iron. This tourmaline ceramic flat iron provides polished, professional results with an advanced ion generator for reduced frizz. Tourmaline ceramic design reduces frizz and boosts shine for healthy-looking hair. Floating plate adjusts to your hair texture. Advanced ion generator reduces frizz and leaves hair shiny and more manageable. Ultra-high heat of 455degF gives you the heat you need for hard-to-style spots. True ceramic heater heats up in 30 seconds and maintains the heat level. Offers 5 heat settings for every hair type. Automatic shutoff ensures safety. Single voltage.~|~42.99~|~~|~each~|~1~|~074108454515~|~~|~Cleaning > Personal Care > Hair Care~|~https://www.officedepot.com/a/products/1000662/Conair-InfinitiPRO-Tourmaline-Ceramic-Flat-Iron/~|~In Stock~|~2026-05-05~|~~|~~|~20
OfficeDepot~|~BRETFORD MANUFACTURING, INC.~|~Bretford~|~4766689~|~100071~|~Bretford CUBE Cart, 2 Shelf, 4 Casters, Steel, 30"W x 26.50"D x 37.50"H, Charcoal, For 32 Devices~|~Dividers provide storage and feature routing slots for power cables to keep things organized and neat. A removable rear panel provides quick and easy access to AC power outlets and adapter storage. A key lock located on the top of the rear panel helps secure your adapters while a reprogrammable combination padlock helps secure devices from the front during charging. Each unit ships fully assembled, ready for devices. With easy access AC charging outlets, durable all-steel construction and full certification to the UL-60950-1 safety standard, the CUBE(TM) Cart has the standard features and quality you've come to expect from Bretford. All backed by our industry leading, standard warranty. This product is heavy and/or oversized and may need more than one person to handle.~|~1257.19~|~~|~each~|~1~|~096633386710~|~~|~Furniture > Carts & Stands > Carts > Charging Carts & Stations~|~https://www.officedepot.com/a/products/100071/Bretford-CUBE-Cart-2-Shelf-4/~|~In Stock~|~2026-05-05~|~~|~~|~1
