sku,adhesion_strength,adhesive_material,backing_material,brand,breadcrumbs,color,core_size,description,elongation,image_url,manufacturer,part_number,price,standards,tape_length,tape_width,temperature_range,thickness,title,type,unspsc_code,url
63161,80 oz/in,Rubber / Resin,Polyethylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""","Polyethylene coated cloth tape with an aggressive natural rubber pressure-sensitive adhesive for improved adhesion and shear properties. Product is designed to answer the end-use / consumer need for an economical general-purpose duct tape. Polyethylene coated cloth tape with an aggressive natural rubber pressure-sensitive adhesive for improved adhesion and shear properties. Product is designed to answer the end-use / consumer need for an economical general-purpose duct tape. HVAC applications, asbestos / lead / fiberglass abatement, exterminators, weather-proofing, gasket material for flexduct connections, temporary wrapping, and general maintenance.",22%,https://img4.fastenal.com/infp360pmm/derivates/3/001/121/950/63161_primary_eng.jpg,IPG,82843,22.45,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,200&deg;F,11 mil,48mm x 55m Silver IPG&reg; AC36 11.0 mil Medium Grade Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/63161
924585153,21 lb/in,Rubber,Polyethylene,ORMADUS,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""","ORMADUS[REG] tapes are manufactured with high grade raw materials and held to the highest quality standards. Made with natural rubber resin, ORMADUS[REG] utility grade duct tape is suitable for a variety of applications. Polyester (PET) cloth / polyethylene (PE) film with an aggressive natural rubber pressure sensitive adhesive combine to provide a quality utility product Conformable to irregular surfaces Packaging, wrapping & sealing, binding & bundling, and general maintenance.",20%,https://img1.fastenal.com/infp360pmm/derivates/3/289/830/$v2/924585153_primary_eng.jpg,FASTENAL APPROVED VENDOR,,6.04,UL 723,50 M,48mm,40&deg;F - 180&deg;F,6 mil,48mm W x 50 M L x 6 mil Silver ORMADUS&reg; Polyethylene Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/924585153
924585149,26 lb/in,Rubber,Polyethylene,ORMADUS,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""","An 11 mil polyethylene coated cloth tape with an aggressive natural rubber adhesive system designed to provide exceptional shear strength. For demanding applications such as HVAC, abatement, weather proofing, extermination, flex-duct connections and all general maintenance needs. Available in silver and black. Contractor's grade For demanding HVAC, abatement and weather proofing applications Great for flex-duct connections and general maintenance HVAC applications asbestos / lead / fiberglass abatement exterminators weather-proofing gasket material for flexduct connections temporary wrapping and general maintenance.",21%,https://img0.fastenal.com/infp360pmm/derivates/3/001/701/450/924585149_primary_eng.jpg,FASTENAL APPROVED VENDOR,,9.54,UL 723,55 M,48mm,40&deg;F - 200&deg;F,11 mil,48mm W x 55 M L x 11 mil Silver ORMADUS&reg; Polyethylene Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/924585149
0605804,27 lb/in,Rubber / Resin,Polyethylene,3M,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""","Constructed of water-resistant polyethylenefilmlaminated to cloth with a rubber adhesive 3M Heavy Duty Duct Tape 3939 resists curling and tears off the roll cleanly for easy application in general indoor MRO/construction environments. The rubber adhesive sticks instantly and provides a tight moisture-resistant seal in many containment situations while low tack roll edges stay cleaner. Designed for heavy-duty use this conformable tape allows for a wide range of permanent and temporary solutions including patching bundling reinforcing tabbing taping/splicing insulation capping pipe securing conduit ends marking labeling temporary repairs and more. Can be used at temperatures as high as 200F for up to 30 minutes. HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications RESISTS CURLING Built of polyethylene film laminated to cloth with a rubber adhesive this commercial-grade duct tape resists curling and tears easily off the roll HEAVY DUTY Durable premium duct tape with high tensile strength designed for general heavy-duty indoor MRO/construction applications Automotive, Electronics, Furniture, General Industrial, Metalworking, Military & Government, MRO, Specialty Vehicle, Transportation, Woodworking",17%,https://img1.fastenal.com/infp360pmm/derivates/3/001/114/515/0603476_Primary_eng.jpg,3M,7000028933,32.06,,55 M,48mm,0&deg;F - 200&deg;F,9 mil,48mm x 55m Silver 3M&trade; 3939 9.0 mil Heavy Duty Polyethylene Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0605804
924585156,24 lb/in,Rubber,Polyethylene,ORMADUS,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""","9 mil all-purpose duct tape perfect for general maintenance applications such as wrapping & sealing, weather proofing, binding and bundling. Aggressive natural rubber adhesive adheres well to a wide variety of surfaces and offers a broad temperature range. Aggressive natural rubber adhesive adheres to a variety of surfaces Perfect for general maintenance, broad temperature range Packaging wrapping and sealing, binding and bundling exterminators, book repair weather proofing and general maintenance.",20%,https://img1.fastenal.com/infp360pmm/derivates/3/001/701/451/924585156_primary_eng.jpg,FASTENAL APPROVED VENDOR,,9.25,UL 723,55 M,48mm,40&deg;F - 200&deg;F,9 mil,48mm W x 55 M L x 9 mil Silver ORMADUS&reg; Polyethylene Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/924585156
922986572,85 oz/in,Rubber,Ethylene / Cotton,GORILLA,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Black,"3""","Duct tape features a double-thick adhesive to provide a strong hold that lasts. Reinforced backing and all-weather shell ensure reliable use on projects and repairs both indoors and out. Versatile design sticks to smooth, rough and uneven surfaces, including wood, stone, stucco, brick, metal and vinyl. More from the Manufacturer",21%,https://img1.fastenal.com/infp360pmm/derivates/3/251/218/922986572_primary_en.jpg,GORILLA GLUE,106425,31.87,,25 yd,"2-57/64""",32&deg;F - 150&deg;F,16.75 mil,"2.88"" x 25 yrd Black Gorilla Tape",Duct Tape,31201501,https://www.fastenal.com/product/details/922986572
0610785,44 oz/in,Rubber,Polyethylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3.16""","100% Dacron[REG] cloth/polyethylene (PE) film with an aggressive pressuresensitive natural rubber adhesive combines to provide a quality utility product. Consistent tensile and even tear in both cross and machine direction. Excellent conformability to irregular surfaces. 100% Dacron[REG] cloth/polyethylene (PE) film with an aggressive pressuresensitive natural rubber adhesive combines to provide a quality utility product. Consistent tensile and even tear in both cross and machine direction. Excellent conformability to irregular surfaces. Packaging, wrapping & sealing, binding & bundling, exterminators and general maintenance.",18%,https://img3.fastenal.com/infp360pmm/derivates/3/001/121/971/0530323_primary_eng.jpg,IPG,83689,13.95,UL 723,55 M,48mm,32&deg;F - 200&deg;F,8 mil,48mm x 55m Silver IPG&reg; AC15 8.0 mil General Purpose Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0610785
0530321,40 oz/in,Rubber,Polyethylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3""","Polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. Polyethylene (PE) coated cloth tape with an aggressive pressure sensitive natural rubber adhesive. Designed to answer the need for an economical, approach to applications. Packaging, wrapping and sealing, binding and bundling, exterminators, book repair, weather proofing, and general maintenance.",14%,https://img3.fastenal.com/infp360pmm/derivates/3/001/121/952/0530321_primary_eng.jpg,IPG,74977,15.35,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,32&deg;F - 160&deg;F,9 mil,48mm x 55m Silver IPG&reg; AC20 9.0 mil Utility Grade Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0530321
0530323,41 oz/in,Rubber,Polyethylene,IPG,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Silver,"3.16""","Polyester (PET) cloth / polyethylene (PE) film with an aggressive pressure sensitive natural rubber adhesive combines to provide a quality utility product. Conformable to irregular surfaces. Polyester (PET) cloth / polyethylene (PE) film with an aggressive pressure sensitive natural rubber adhesive combines to provide a quality utility product. Conformable to irregular surfaces. Packaging, wrapping & sealing, binding & bundling, and general maintenance.",18%,https://img3.fastenal.com/infp360pmm/derivates/3/001/121/971/0530323_primary_eng.jpg,IPG,87372,17.78,,55 M,48mm,,7 mil,48mm x 55m Silver IPG&reg; AC10 7.0 mil Utility Grade Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/0530323
63167,80 oz/in,Rubber / Resin,Polyethylene,,"Home > All Products > Adhesives, Sealants, and Tape > Tape > Duct Tape",Black,"3""","Polyethylene coated cloth tape with an aggressive natural rubber pressure-sensitive adhesive for improved adhesion and shear properties. Product is designed to answer the end-use / consumer need for an economical general-purpose duct tape. Polyethylene coated cloth tape with an aggressive natural rubber pressure-sensitive adhesive for improved adhesion and shear properties. Product is designed to answer the end-use / consumer need for an economical general-purpose duct tape. HVAC applications, asbestos / lead / fiberglass abatement, exterminators, weather-proofing, gasket material for flexduct connections, temporary wrapping, and general maintenance.",22%,https://img2.fastenal.com/infp360pmm/derivates/3/001/121/961/0614844_primary_eng.jpg,IPG,82842,23.81,"Meets HUD, BOCA, and L.A. County Codes, UL 723",55 M,48mm,200&deg;F,11 mil,48mm x 55m Black IPG&reg; AC36 11.0 mil Medium Grade Duct Tape,Duct Tape,31201501,https://www.fastenal.com/product/details/63167
