company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
HDSupplySolutions~|~CRAFT + MAIN~|~CRAFT + MAIN~|~CVSS4872-CL-MB~|~P415284~|~Craft + Main Cove 48 72-Inch Frameless Sliding Shower Door Clear/Matte Black~|~CRAFT + MAIN Cove 48 72-inch Frameless Sliding Shower Door Clear/Matte Black 1/4 Clear tempered safety glass An anodized aluminum frame in Matte Black finish Through-the-glass coordinating towel bars and hangers An elegantly styled header Safe-Slider(R) clip to keep doors gliding smoothly Bottom track designed for easy cleaning Up to 3/4 adjustment for out of square walls 2-Year Limited Residential Warranty H2OFF(R) Clean Glass Technology is applied to the inside of the glass to keep it cleaner for longer. With a 5-year warranty, H2OFF(R) helps the glass stay looking like new by resisting buildup and making cleaning easier. WAMM(R): We All Make Mistakes(R)! MFG# CVSS4872-CL-MB~|~653.0~|~CHINA~|~each~|~1~|~721015620051~|~~|~Home > Plumbing > Bathtubs & Showers > Bathtub & Shower Doors~|~https://hdsupplysolutions.com/p/craft-main-cove-48-%C3%97-72-inch-frameless-sliding-shower-door-clear-matte-black-p415284~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-6324EWH~|~P377950~|~24 In. Nebula Collection 220 CFM Ducted Wall Mount Range Hood, Button Controls, LED Lights, Stainless Steel~|~24 in. Nebula Collection 220 CFM Ducted Wall Mount Range Hood, Button Controls, LED Lights, Stainless Steel The Nebula Collection offers reliability with essential features, providing a straightforward solution for those who seek practicality in an appliance Features an ultra-quiet design to effectively remove smells and grease when cooking Push button controls operate the fan and lights in sleek stainless steel that integrates seamlessly with the range hood's design 3 fan speeds to adjust to your needs-choose from high, medium and low suction to suit a variety of foods and cooking Noise level as low as 45 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Energy efficient 1.5-Watt LED lights helps illuminate your cooktop surface for added visibility, mounted directly below the range hood Cosmo ARC-FLOW permanent filters are constructed of high quality stainless steel to effectively capture grease and steam. Our ARC-FLOW permanent filters are dishwasher-safe and extremely durable. Range hood comes configured for ducted use; range hood can be converted to recirculating with the optional purchase of Carbon Filter Kit # CFK6 (sold separately) 2 years limited warranty, trust our wall mount range hood to deliver years of trouble-free use Comes standard for ducted use. The range hood vents outside and away from your home Exhaust opening uses 6 in. round duct. Backdraft damper is included to prevent air coming back inside Made of premium 430 grade stainless steel, 20-Gauge thickness ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-6324EWH~|~243.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/24-in-nebula-collection-220-cfm-ducted-wall-mount-range-hood-button-controls-led-lights-stainless-steel-p377950~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-QB75~|~P377945~|~30 In. Haven Collection 500 CFM Ducted Under Cabinet Range Hood, Button Control, LED Lights, Stainless Steel~|~30 in. Haven Collection 500 CFM Ducted Under Cabinet Range Hood, Button Control, LED Lights, Stainless Steel The Haven Collection Brings Enhanced Functionality And Design, Offering A Well-Rounded Option For Those Looking For More Convenience And Style In An Appliance Ultra-Quiet Design With Under Cabinet Range Hood Mounting Sleek Stainless Steel Push Button Controls Operate The Fan And Lights And Integrate Seamlessly With The Range Hood Design 3 Fan Speeds To Adjust To Your Needs, Choose From High, Medium And Low Suction To Suit A Variety Of Foods And Cooking 500 Cfm Airflow Capacity Provides Efficient Performance Noise Level As Low As 40 Db On Lowest Fan Speed With Rigid Ducting (Sold Separately) Under Optimal Conditions; Range Hood Comes With Flexible Ducting For Convenient Installation Energy Efficient Led Lights Illuminate Your Cooktop Surface For Added Visibility Cosmo Arc-Flow Permanent Filters Are Constructed Of High Quality Stainless Steel To Effectively Capture Grease And Cooking Odors And Keep The Air Clean. These Filters Are Dishwasher-Safe And Extremely Durable- No Need To Replace The Filters, Simply Drop Them In The Dishwasher For Easy Maintenance 8 In. Round Duct Exhaust Opening, Back Draft Damper Is Included To Prevent Air Coming Back Inside Under Cabinet Range Hood Is Made Of Premium 430 Grade Stainless Steel, 18-Gauge Thickness 3-Prong 120-Volt Power Cord Included For Easy Hookup Convertible To Ductless Operation With Carbon Filter Kit Part Cfk5 (Sold Separately) Etl Listed: Etl Listed Products Demonstrate Compliance To North American Safety Standards Published By Relevant Nrtls (Nationally Recognized Testing Laboratories) MFG# COS-QB75~|~387.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/30-in-haven-collection-500-cfm-ducted-under-cabinet-range-hood-button-control-led-lights-stainless-steel-p377945~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-63ISS75~|~P377946~|~30 In. Lumin Collection 380 CFM Ducted Island Range Hood, Soft Touch Controls, LED Lights, Stainless Steel~|~30 in. Lumin Collection 380 CFM Ducted Island Range Hood, Soft Touch Controls, LED Lights, Stainless Steel The Lumin Collection brings enhanced functionality and design, offering a well-rounded option for those looking for more convenience and style in an appliance Ducted Island range hood with ultra-quiet design Easy-to-use digital touch controls with timer and clock Choose from 3 fan speeds from high, medium and low to suit a variety of cooking styles Island range hood features 380 CFM of suction; cook with confidence you'll always have enough kitchen ventilation Noise level as low as 45 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation ARC-FLOW permanent filters are dishwasher-safe and extremely durable; no need to replace these filters, simply drop them in the dishwasher for easy maintenance Island range hood exhaust opening uses 6 in. round duct Premium 430 grade 18-Gauge stainless steel 3-prong power plug Range hood can be converted to recirculating/ductless operation with optional purchase of Carbon Filter Kit # CFK1-TM (sold separately) ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-63ISS75~|~470.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/30-in-lumin-collection-380-cfm-ducted-island-range-hood-soft-touch-controls-led-lights-stainless-steel-p377946~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-63024P~|~P377954~|~30 In. Nebula Collection 250 CFM Ducted Wall Mount Range Hood, Button Control, LED Lights, Mesh Filters, Stainless Steel~|~30 in. Nebula Collection 250 CFM Ducted Wall Mount Range Hood, Button Control, LED Lights, Mesh Filters, Stainless Steel The Nebula Collection offers reliability with essential features, providing a straightforward solution for those who seek practicality in an appliance Features an ultra-quiet design to effectively remove smells and grease when cooking Push button controls operate the fan and lights in sleek stainless steel that integrates seamlessly with the range hood's design 3 fan speeds to adjust to your needs-choose from high, medium and low suction to suit a variety of foods and cooking Noise level as low as 45 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Energy efficient 1.5-Watt LED lights helps illuminate your cooktop surface for added visibility, mounted directly below the range hood Reusable aluminum mesh filters effectively capture grease and steam Range hood comes configured for ducted use; range hood can be converted to recirculating with the optional purchase of Carbon Filter Kit # CFK6 (sold separately) 2 years limited warranty, trust our wall mount range hood to deliver years of trouble-free use Comes standard for ducted use. The range hood vents outside and away from your home Exhaust opening uses 5.9 in. round duct. Backdraft damper is included to prevent air coming back inside Made of premium 430 grade stainless steel, 20-Gauge thickness ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-63024P~|~193.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/30-in-nebula-collection-250-cfm-ducted-wall-mount-range-hood-button-control-led-lights-mesh-filters-stainless-steel-p377954~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-668A750~|~P378307~|~30 In. Vista Collection 380 CFM Ducted Wall Mount Range Hood, Button Controls, LED Lights, Stainless Steel~|~30 in. Vista Collection 380 CFM Ducted Wall Mount Range Hood, Button Controls, LED Lights, Stainless Steel The Vista Collection brings enhanced functionality and design, offering a well-rounded option for those looking for more convenience and style in an appliance Push button controls make operating our wall mount range hood easy to control with just a tap of a finger 3 fan speeds to adjust to your needs, choose from high, medium and low suction to suit a variety of foods and cooking Noise level as low as 50 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Energy efficient 2-Watt LED lights helps illuminate your cooktop surface for added visibility, mounted directly below the range hood, cook and see better in the dark Cosmo ARC-Flow permanent filters are constructed of high quality stainless steel to effectively capture grease and cooking odors and keep the air clean, our ARC-Flow permanent filters are dishwasher-safe and extremely durable, no need to replace these filters Range hood can be converted to recirculating/ductless operation with optional purchase of Carbon Filter Kit CFK1-TM (sold separately) 2 years limited warranty, trust our wall mount range hood to deliver years of trouble-free use Wall mount range hood with telescoping chimney makes it suitable for ceilings 7.5 ft. to 8.5 ft. in height Wall mount range hood is made of premium 430 grade stainless steel, 20-Gauge thickness 3-prong power plug ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-668A750~|~274.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/30-in-vista-collection-380-cfm-ducted-wall-mount-range-hood-button-controls-led-lights-stainless-steel-p378307~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-63175S-BK~|~P377955~|~30 In. Vista Collection 380 CFM Ducted Wall Mount Range Hood, Touch Controls, LED Lights, Matte Black~|~30 in. Vista Collection 380 CFM Ducted Wall Mount Range Hood, Touch Controls, LED Lights, Matte Black The Vista Collection brings enhanced functionality and design, offering a well-rounded option for those looking for more convenience and style in an appliance Range hood features ultra-quiet design to effectively remove smells and odors when cooking Easy-to-use touch controls with integrated back lit digital display; just a tap of a finger controls the fans and lights 3 fan speeds to adjust to your needs; choose from high, medium and low suction to suit a variety of foods and cooking Noise level as low as 45 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Handle multiple pots, pans and burners with ease with 380CFM of suction- enough to take care of steam, grease and smoke from even the largest meals Energy efficient LED lights under the hood provide bright white light to brighten your cooktop surface Capture grease and cooking odors with high quality ARC-FLOW filters; durable, easy to clean 2 year limited warranty- our wall mount range hood will provide years of trouble-free use Matte black range hood 3-prong power cord included Range hood can be converted to recirculating/ductless operation with optional purchase of Carbon Filter Kit CFK1-TM (sold separately) ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-63175S-BK~|~311.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/30-in-vista-collection-380-cfm-ducted-wall-mount-range-hood-touch-controls-led-lights-matte-black-p377955~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~UMC36~|~P377957~|~36 In. Haven Collection 380 CFM Ducted Under Cabinet Range Hood, LED Lights, Touch Controls, Stainless Steel~|~36 in. Haven Collection 380 CFM Ducted Under Cabinet Range Hood, LED Lights, Touch Controls, Stainless Steel The Haven Collection brings enhanced functionality and design, offering a well-rounded option for those looking for more convenience and style in an appliance Efficient airflow ultra-quiet design with under cabinet range hood mounting Easy-to-use digital soft-touch controls with backlit display built-in to the under cabinet range hood 3 fan speeds to adjust to your needs, choose from high, medium and low suction to suit a variety of foods and cooking 380 CFM airflow capacity provides efficient performance Noise level as low as 45 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Range hood can be used ductless with optional Carbon Filter Kit (Purchase Part # CFK1-TM) sold separately. Two 2-Watt LED lights help illuminate the cooktop surface for added visibility at night Cosmo ARC FLOW permanent filters are constructed of high quality stainless steel to effectively capture grease and cooking odors and keep the air clean. Our ARC FLOW permanent filters are dishwasher-safe and extremely durable Auto shut-off timer for multi-tasking and removal of lingering odors 2-year limited warranty, trust our under cabinet range hood to deliver years of trouble-free use 6 in. round duct for the exhaust opening, backdraft damper is included with under cabinet range hood to prevent air coming back inside Under cabinet range hood is made of premium 430 grade stainless steel, 20-Gauge thickness ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# UMC36~|~290.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/36-in-haven-collection-380-cfm-ducted-under-cabinet-range-hood-led-lights-touch-controls-stainless-steel-p377957~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-QB90~|~P377952~|~36 In. Haven Collection 500 CFM Ducted Under Cabinet Range Hood, Button Control, LED Lights, Stainless Steel~|~36 in. Haven Collection 500 CFM Ducted Under Cabinet Range Hood, Button Control, LED Lights, Stainless Steel The Haven Collection brings enhanced functionality and design, offering a well-rounded option for those looking for more convenience and style in an appliance Ultra-quiet design range hood with under cabinet mounting Push button controls that operate the fan and lights are integrated seamlessly with the range hood design in sleek stainless steel 3 fan speeds to adjust to your needs: choose from high, medium and low suction to suit a variety of foods and cooking Handle multiple pots, pans and burners with ease with 500 CFM of suction- enough to take care of steam, grease and smoke from even the largest meals Noise level as low as 40 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Two bright white LED lights help illuminate the cooktop surface Cosmo ARC FLOW permanent filters are constructed of high quality stainless steel to effectively capture grease and cooking odors and keep the air clean. Our permanent filters are dishwasher-safe and extremely durable Under cabinet range hood is made of premium 430 grade stainless steel, 18-Gauge thickness 8 in. round duct exhaust opening, backdraft damper is included with under cabinet range hood to prevent air coming back inside Convertible to ductless operation with Carbon Filter Kit CFK5 (sold separately) ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-QB90~|~408.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/36-in-haven-collection-500-cfm-ducted-under-cabinet-range-hood-button-control-led-lights-stainless-steel-p377952~|~~|~2026-05-05~|~~|~~|~
HDSupplySolutions~|~Cosmo~|~Cosmo~|~COS-KS6U36-BK~|~P377951~|~36 In. Haven Collection 500 CFM Ducted Under Cabinet Range Hood, Touch Controls, LED Lights In Matte Black~|~36 in. Haven Collection 500 CFM Ducted Under Cabinet Range Hood, Touch Controls, LED Lights in Matte Black The Haven Collection brings enhanced functionality and design, offering a well-rounded option for those looking for more convenience and style in an appliance Ultra-quiet design with under cabinet range hood mounting Easy-to-use digital soft touch controls 3 fan speeds adjust to your needs, choose from high, medium, and low suction to suit a variety of foods and cooking 500 CFM airflow capacity provides efficient performance Noise level as low as 45 dB on lowest fan speed with rigid ducting (sold separately) under optimal conditions; range hood comes with flexible ducting for convenient installation Two 1.5-Watt energy efficient LED lights help illuminate the cooktop surface for added visibility, mounted directly below the range hood Includes wireless remote to make adjustments from afar Cosmo ARC-FLOW permanent filters are constructed of high-quality stainless steel to effectively capture grease and cooking odors; our ARC-FLOW permanent filters are dishwasher-safe and extremely durable 2-year limited warranty, trust our under cabinet range hood will provide years of trouble-free use Range hood exhaust rectangular or round (top of unit only); includes a rear exhaust option (rectangular only); only round duct included with range hood Made of premium 430-grade stainless steel, 18-Gauge thickness to add a refined touch and upgrade a kitchen's ambiance 3-prong power cord included for easy installation ETL Listed: ETL Listed products demonstrate compliance to North American safety standards published by relevant NRTLs (Nationally Recognized Testing Laboratories) MFG# COS-KS6U36-BK~|~418.0~|~CHINA~|~each~|~1~|~~|~~|~Home > Appliances > Range Hoods & Repair > Range Hoods~|~https://hdsupplysolutions.com/p/36-in-haven-collection-500-cfm-ducted-under-cabinet-range-hood-touch-controls-led-lights-in-matte-black-p377951~|~~|~2026-05-05~|~~|~~|~
